date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:29	89992/89992	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-15f88%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.js	D:/coding/Digify/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.js	(from https://www.crantia.com/)
15:11:30	41953/41953	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a3e1%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.js	D:/coding/Digify/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.js	(from https://www.crantia.com/)
15:11:31	71520/71520	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-6d5e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	D:/coding/Digify/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://www.crantia.com/)
15:11:31	56/56	---MC-	302	error ('Found')	text/plain	date:Wed,%2012%20Jun%202024%2009:41:30%20GMT	https://unpkg.com/splitting/dist/splitting.js	D:/coding/Digify/unpkg.com/splitting/dist/splitting.js	(from https://www.crantia.com/)
15:11:31	13561/13561	---MCZ	200	added ('OK')	application/javascript	etag:W/%2234f9-ot9wypv9lumaR8kQU3UbDnw5SJ0%22	https://unpkg.com/splitting@1.1.0/dist/splitting.js	D:/coding/Digify/unpkg.com/splitting@1.1.0/dist/splitting.js	(from https://www.crantia.com/)
15:11:33	118/118	---MC-	302	error ('Found')	text/html	date:Wed,%2012%20Jun%202024%2009:41:31%20GMT	https://unpkg.com/scroll-out/dist/scroll-out.js	D:/coding/Digify/unpkg.com/scroll-out/dist/scroll-out.js	(from https://www.crantia.com/)
15:11:33	10808/10808	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a38-IFJTF0NrKIOm5RiO+ZF+6F9VLZQ%22	https://unpkg.com/scroll-out@2.2.12/dist/scroll-out.js	D:/coding/Digify/unpkg.com/scroll-out@2.2.12/dist/scroll-out.js	(from https://www.crantia.com/)
15:11:34	60533/60533	---M-Z	200	added ('OK')	application/javascript	etag:%225f061dcb-ec75%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.4.0/gsap.min.js	D:/coding/Digify/cdnjs.cloudflare.com/ajax/libs/gsap/3.4.0/gsap.min.js	(from https://www.crantia.com/)
15:11:48	42667/42667	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-442b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	D:/coding/Digify/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	(from https://www.crantia.com/)
15:12:01	20746/20746	---M-Z	200	added ('OK')	text/css	etag:%22510a-65f58ccb-9bfc083de4adabea;gz%22	https://www.crantia.com/wp-content/plugins/international-telephone-input-for-contact-form-7/vendor/intl-tel-input/css/intlTelInput.min.css?ver=12.1.3	D:/coding/Digify/www.crantia.com/wp-content/plugins/international-telephone-input-for-contact-form-7/vendor/intl-tel-input/css/intlTelInput.minf145.css	(from https://www.crantia.com/)
